Title,Year,User Score,Description,Director,Screenplay,Type,Revenue,Budget,Runtime
Iron Man 2,2010,68,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",Jon Favreau,['Justin Theroux'],"Adventure, Action, Science Fiction",623933331.00,200000000.00,2h 4m
The Fall Guy,2024,72,"Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.",David Leitch,[],"Action, Comedy, Romance",181035480.00,125000000.00,2h 6m
Luca,2021,78,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,Enrico Casarosa,"['Jesse Andrews', 'Mike Jones']","Animation, Comedy, Fantasy, Adventure, Family",51074773.00,200000000.00,1h 35m
The Radleys,2024,52,"A seemingly ordinary family harbors a dark secret: they are vampires. They choose not to drink blood despite their natural cravings, but one day, their truth comes to light.",Euros Lyn,[],"Comedy, Horror, Thriller",-,-,1h 55m
The Deep Dark,2023,58,"1956, in the north of France. A group of underground miners is forced to take a professor to take samples a thousand meters underground. After a landslide that prevents them from going back up, they discover a crypt from another time, and unknowingly awaken a legendary bloodthirsty creature.",Mathieu Turi,[],"Adventure, Horror, Drama",-,-,1h 43m
American Psycho,2000,74,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",Mary Harron,['Guinevere Turner'],"Thriller, Drama, Crime",34300000.00,7000000.00,1h 42m
The Book of Life,2014,75,"The journey of Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart. Before choosing which path to follow, he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears.",Jorge R. Gutierrez,[],"Animation, Adventure, Comedy, Family, Fantasy",97437106.00,50000000.00,1h 35m
Alice in Terrorland,2023,60,"A recently bereaved teenage girl goes to live with her aunt in a secluded woodland house, unaware that sinister forces lurk within.",Richard John Taylor,[],"Horror, Thriller",-,-,1h 17m
Good One,2024,59,"On a weekend backpacking trip in the Catskills, 17-year-old Sam contends with the competing egos of her father and his oldest friend.",India Donaldson,[],Drama,165620.00,-,1h 29m
Bad Boys,1995,68,"Marcus Burnett is a henpecked family man. Mike Lowrey is a footloose and fancy free ladies' man. Both Miami policemen, they have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",Michael Bay,"['Michael Barrie', 'Jim Mulholland', 'Doug Richardson']","Action, Comedy, Crime, Thriller",141407024.00,19000000.00,1h 59m
Godzilla Minus One,2023,76,"In postwar Japan, Godzilla brings new devastation to an already scorched landscape. With no military intervention or government help in sight, the survivors must join together in the face of despair and fight back against an unrelenting horror.",Takashi Yamazaki,[],"Science Fiction, Horror, Action",115857413.00,15000000.00,2h 4m
Spider-Man: Into the Spider-Verse,2018,84,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",Bob Persichetti,['Phil Lord'],"Animation, Action, Adventure, Science Fiction",384298736.00,90000000.00,1h 57m
Encanto,2021,76,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",Byron Howard,['Charise Castro Smith'],"Animation, Comedy, Family, Fantasy",261289554.00,135000000.00,1h 42m
Cruella,2021,80,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",Craig Gillespie,"['Dana Fox', 'Tony McNamara']","Comedy, Crime, Family, Adventure",233503234.00,200000000.00,2h 14m
The Next 365 Days,2022,64,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues while a tenacious Nacho works to push them apart.,Barbara Białowąs,[],"Romance, Drama",-,-,1h 52m
172 Days,2023,53,"Zira was united with Amer for 172 very memorable days. Fate separated, Amer left too soon, leaving many sweet memories for Zira.",Hadrah Daeng Ratu,[],"Drama, Romance",-,-,1h 43m
Titane,2021,64,"A woman with a metal plate in her head from a childhood car accident embarks on a bizarre journey, bringing her into contact with a firefighter who's reunited with his missing son after 10 years.",Julia Ducournau,[],"Drama, Thriller, Horror",4982335.00,6600000.00,1h 48m
Alice in Wonderland,2010,66,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",Tim Burton,['Linda Woolverton'],"Family, Fantasy, Adventure",1025467110.00,200000000.00,1h 48m
The Lion King,2019,71,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",Jon Favreau,['Jeff Nathanson'],"Animation, Adventure, Drama, Family",1663000000.00,260000000.00,1h 58m
Extraction 2,2023,74,"Back from the brink of death, highly skilled commando Tyler Rake takes on another dangerous mission: saving the imprisoned family of a ruthless gangster.",Sam Hargrave,[],"Action, Thriller",-,65000000.00,2h 2m
Avengers: Endgame,2019,83,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",Anthony Russo,"['Christopher Markus', 'Stephen McFeely']","Adventure, Science Fiction, Action",2799439100.00,356000000.00,3h 1m
My Spy The Eternal City,2024,67,"JJ, a veteran CIA agent, reunites with his protégé Sophie, in order to prevent a catastrophic nuclear plot targeting the Vatican.",Peter Segal,"['Erich Hoeber', 'Jon Hoeber']","Action, Comedy",-,-,1h 52m
The Lord of the Rings: The Two Towers,2002,84,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",Peter Jackson,"['Philippa Boyens', 'Stephen Sinclair', 'Fran Walsh']","Adventure, Fantasy, Action",926287400.00,79000000.00,2h 59m
Bâtiment 5,2023,62,A local activist and a budding young mayor clash over the best path forward for their impoverished suburb.,Ladj Ly,['Giordano Gederlini'],Drama,1049121.00,-,1h 41m
Don't Tell Mom the Babysitter's Dead,2024,61,"Seventeen year old Tanya's plans for a carefree summer are derailed when her stressed-to-the-limit mom takes off for a wellness retreat and puts Tanya and her three siblings in the charge of a crotchety (and racist) old babysitter. The babysitter’s sudden death leaves the kids short on cash and reluctant to pull mom prematurely out of her much-needed R&R, so Tanya is forced to get a job. Posing as an adult, she gets a gig as the executive assistant at a fashion company and overnight is thrust into the world of adulthood and parenting.",Wade Allain-Marcus,[],Comedy,-,-,1h 39m
Megalopolis,2024,56,"Genius artist Cesar Catilina seeks to leap the City of New Rome into a utopian, idealistic future, while his opposition, Mayor Franklyn Cicero, remains committed to a regressive status quo, perpetuating greed, special interests, and partisan warfare. Torn between them is socialite Julia Cicero, the mayor’s daughter, whose love for Cesar has divided her loyalties, forcing her to discover what she truly believes humanity deserves.",Francis Ford Coppola,[],"Science Fiction, Drama",12508207.00,120000000.00,2h 18m
Tarot,2024,66,"When a group of friends recklessly violate the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.",Spenser Cohen,[],Horror,48027934.00,8000000.00,1h 32m
Get Out,2017,76,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",Jordan Peele,[],"Mystery, Thriller, Horror",255407969.00,4500000.00,1h 44m
Wicked,2024,NR,"Elphaba, an ostracized but defiant girl born with green skin, and Glinda, a privileged aristocrat born popular, become extremely unlikely friends in the magical Land of Oz. As the two girls struggle with their opposing personalities, their friendship is tested as both begin to fulfill their destinies as Glinda the Good and The Wicked Witch of the West. The first of a two-part film adaptation of the Broadway musical.",Jon M. Chu,[],"Drama, Fantasy, Romance",-,145000000.00,2h 40m
Shrek 2,2004,73,"Shrek, Fiona, and Donkey set off to Far, Far Away to meet Fiona's mother and father, the Queen and King. But not everyone is happily ever after. Shrek and the King find it difficult to get along, and there's tension in the marriage. The Fairy Godmother discovers that Fiona has married Shrek instead of her son Prince Charming and plots to destroy their marriage.",Conrad Vernon,"['David N. Weiss', 'J. David Stem', 'Joe Stillman']","Animation, Family, Comedy, Fantasy, Adventure, Romance",935454538.00,150000000.00,1h 32m
Wrong Turn,2003,64,"Chris crashes into a carload of other young people, and the group of stranded motorists is soon lost in the woods of West Virginia, where they're hunted by three cannibalistic mountain men who are grossly disfigured by generations of inbreeding.",Rob Schmidt,['Alan B. McElroy'],"Horror, Thriller",28650575.00,12600000.00,1h 24m
Baywatch,2017,61,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay.",Seth Gordon,"['Mark Swift', 'Damian Shannon']","Comedy, Action, Crime",177900000.00,69000000.00,1h 56m
A Man Called Otto,2022,78,"When a lively young family moves in next door, grumpy widower Otto Anderson meets his match in a quick-witted, pregnant woman named Marisol, leading to an unlikely friendship that turns his world upside down.",Marc Forster,['David Magee'],"Comedy, Drama",108961677.00,50000000.00,2h 6m
Abigail,2024,68,"A group of criminals kidnap a teenage ballet dancer, the daughter of a notorious gang leader, in order to obtain a ransom of $50 million, but over time, they discover that she is not just an ordinary girl. After the kidnappers begin to diminish, one by one, they discover, to their increasing horror, that they are locked inside with no normal little girl.",Tyler Gillett,"['Stephen Shields', 'Guy Busick']","Horror, Thriller",42241257.00,28000000.00,1h 49m
Spider-Man: Homecoming,2017,73,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",Jon Watts,"['Christopher Ford', 'Erik Sommers', 'John Francis Daley', 'Jonathan Goldstein', 'Chris McKenna']","Action, Adventure, Science Fiction, Drama",880166924.00,175000000.00,2h 13m
Hacksaw Ridge,2016,82,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",Mel Gibson,"['Andrew Knight', 'Robert Schenkkan']","Drama, History, War",175302354.00,40000000.00,2h 19m
