Title,Year,User Score,Description,Director,Screenplay,Type,Revenue,Budget,Runtime
Ratatouille,2007,78,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",Brad Bird,[],"Animation, Comedy, Family, Fantasy",623726000.00,150000000.00,1h 51m
Something in the Water,2024,60,"After lesbian couple Meg and Kayla split following a traumatic homophobic incident, their three friends are intent on mending the rift during the wedding of Lizzie at a paradise resort. But a pre-wedding boat excursion turns to disaster and the wedding breakfast is likely to be the five girls!",Hayley Easton Street,[],"Thriller, Horror",-,-,1h 26m
Dead Silence,2007,64,"Jamie returns to his hometown in search of answers to his wife's murder, which occurred after receiving a weird package containing a ventriloquist dummy named Billy, which may be linked to the legend of ventriloquist Mary Shaw. Destined to find out the truth, Jamie goes to the town of Raven's Fair, where Shaw used to perform and is buried. But Jamie is in for more than he expected.",James Wan,[],Horror,22217407.00,20000000.00,1h 29m
Shang-Chi and the Legend of the Ten Rings,2021,75,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,Destin Daniel Cretton,"['Andrew Lanham', 'Dave Callaham']","Action, Adventure, Fantasy",432243292.00,150000000.00,2h 12m
Poor Things,2023,77,"Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.",Yorgos Lanthimos,['Tony McNamara'],"Science Fiction, Romance, Comedy",117607117.00,35000000.00,2h 22m
Taken 2,2012,64,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",Olivier Megaton,"['Robert Mark Kamen', 'Luc Besson']","Action, Crime, Thriller",376100000.00,45000000.00,1h 31m
Talk to Me,2023,72,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",Michael Philippou,[],Horror,92000000.00,4500000.00,1h 35m
The Adventure of A.R.I.: My Robot Friend,2022,70,A teenager summons the courage to help a friendly robot known as A.R.I. kidnapped by a ruthless lab director working for a powerful corporation seeking to turn him into a dangerous weapon in order to rule the world.,Stephen Shimek,[],"Family, Science Fiction",-,-,1h 29m
PAW Patrol: The Mighty Movie,2023,71,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups.",Cal Brunker,['Bob Barlen'],"Animation, Family, Action, Science Fiction, Comedy, Drama, Adventure",202231360.00,30000000.00,1h 32m
Pirates of the Caribbean: On Stranger Tides,2011,66,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",Rob Marshall,"['Terry Rossio', 'Ted Elliott']","Adventure, Action, Fantasy",1045700000.00,379000000.00,2h 17m
Transformers: Age of Extinction,2014,59,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",Michael Bay,[],"Science Fiction, Action, Adventure",1104054072.00,210000000.00,2h 45m
Scarface,1983,82,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",Brian De Palma,['Oliver Stone'],"Action, Crime, Drama",66023329.00,25000000.00,2h 49m
Eternals,2021,69,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",Chloé Zhao,"['Patrick Burleigh', 'Kaz Firpo', 'Ryan Firpo']","Science Fiction, Action, Adventure",402064899.00,200000000.00,2h 36m
Cuckoo,2024,57,"After reluctantly moving to the German Alps with her father and his new family, Gretchen discovers that their new town hides sinister secrets, as she's plagued by strange noises and frightening visions of a woman pursuing her.",Tilman Singer,[],"Horror, Mystery, Science Fiction",6470705.00,7000000.00,1h 43m
The Handmaiden,2016,82,"In 1930s Korea, a swindler and a young woman pose as a Japanese count and a handmaiden to seduce a Japanese heiress and steal her fortune.",Park Chan-wook,[],"Thriller, Drama, Romance",38600000.00,8575000.00,2h 25m
Through My Window 3: Looking at You,2024,69,"After the events of the summer, Ares and Raquel they don't see a way forward in their relationship and decide to go separate ways. But when they meet again in the winter in Barcelona, the love and desire they feel for each other is undeniable. Will they be able to find a way to get back together?",Marçal Forés,['Eduard Sola'],"Romance, Drama, Comedy",-,-,1h 45m
Hunting Games,2023,42,"When a group of ex-military members is hired to retrieve a lost bag of stolen money, their mission becomes more difficult after a lone hunter finds the bag first.",Justin Lee,[],"Action, Thriller, TV Movie",-,-,1h 34m
Blood Dried Hands,2024,r0,"A reluctant serial killer grapples with his base desires and longs for his own death, as a small town Detective closes in on his trail to stop the killing spree while dealing with her own debilitating trauma.",Jason Vandygriff,[],"Horror, Thriller, Drama, Crime",-,100000.00,1h 55m
Thriller Night,2011,69,"A Shrek parody of Michael Jackson's Thriller song and music video, with Donkey singing.",Gary Trousdale,[],"Animation, Music, Horror, Comedy",-,-,6m
Natsume's Book of Friends: The Waking Rock and the Strange Visitor,2021,73,"The film will be made up of two stories: ""Ishi Okoshi"" and ""Ayashiki Raihousha."" In ""Ishi Okoshi,"" Natsume meets a small youkai called Mitsumi in a forest. Mitsumi is entrusted to wake up the divine youkai ""Iwatetsu"" from its deep slumber. Mitsumi weighs on Natsume's mind, so he sets out to help Mitsumi with his task.",Hideki Ito,"['Takahiro Omori', 'Sadayuki Murai']","Animation, Drama, Fantasy",-,-,52m
The Parent Trap,1998,72,"Hallie Parker and Annie James are identical twins separated at a young age because of their parents' divorce. Unknowingly to their parents, the girls are sent to the same summer camp where they meet, discover the truth about themselves, and then plot with each other to switch places.",Nancy Meyers,"['David Swift', 'Charles Shyer']","Comedy, Family, Romance",92108518.00,15000000.00,2h 8m
The Emperor's New Groove,2000,76,"Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership.",Mark Dindal,['David Reynolds'],"Adventure, Animation, Comedy, Family, Fantasy",169327687.00,100000000.00,1h 18m
Toy Story,1995,80,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",John Lasseter,"['Andrew Stanton', 'Joel Cohen', 'Alec Sokolow', 'Joss Whedon']","Animation, Adventure, Family, Comedy",394436586.00,30000000.00,1h 21m
The Notebook,2004,79,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",Nick Cassavetes,"['Jan Sardi', 'Jeremy Leven']","Romance, Drama",115600000.00,29000000.00,2h 3m
The Instigators,2024,62,"Rory and Cobby are unlikely partners thrown together for a heist. But when it goes awry, they team up to outrun police, backward bureaucrats, and a vengeful crime boss.",Doug Liman,[],"Crime, Comedy, Action",11098.00,-,1h 42m
The Voyeur,1994,55,"At a college in Rome, a professor, nicknamed ""Dodo"" is in a deep depression. His stunningly beautiful wife has just left him for another man. Dodo wants her back very badly and has erotic daydreams about her. A beautiful young student in his class asks him for a ride home and seduces the lucky man, but still he wonders about his wife and her lover.",Tinto Brass,[],"Drama, Romance",-,2700000.00,1h 38m
Prey,2022,77,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",Dan Trachtenberg,['Patrick Aison'],"Thriller, Action, Science Fiction",-,65000000.00,1h 40m
Dune,2021,78,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",Denis Villeneuve,"['Jon Spaihts', 'Eric Roth']","Science Fiction, Adventure",407573628.00,165000000.00,2h 35m
